dirty	-0.19918116058934954
rude	-0.13592421425835893
never	-0.128339102682116
terrible	-0.12553433887597498
worst	-0.1161910548004964
money	-0.11126627953104563
ever	-0.105719690932536
cheap	-0.10346747422484934
rate	-0.09838489777245972
one	-0.0981184570267547
place	-0.09182679948071457
shared	-0.0907958117342862
dont	-0.09076106343828824
even	-0.09028058973481007
expect	-0.08897476866022105
left	-0.08622076556502359
broken	-0.08568614092188132
sheet	-0.08449160640331149
however	-0.08265255150344163
wall	-0.08232281154819543
bug	-0.07957322450073735
poor	-0.07924966120998649
toilet	-0.07837494459614842
nothing	-0.07601842501111189
bathroom	-0.07438323841105064
stair	-0.07363942166682991
fee	-0.07300881338140408
offer	-0.07265095672284283
disappointed	-0.0721561402410544
bedbug	-0.06848083767807453
bad	-0.06834650084186268
staff rude	-0.06801194072428826
elevator	-0.06792034836136447
paper	-0.06775672748528626
old	-0.06698479403232369
told	-0.06480053014876964
worth	-0.06375153321908994
worse	-0.06357782748126012
picture	-0.062441880771980825
im	-0.06216546509968248
disgusting	-0.061739969328386005
hear	-0.060725137901239346
stay away	-0.060678483296744815
hospitality	-0.060661722984837234
carpet	-0.060565029767949065
suitcase	-0.05973216261783966
plus	-0.05965951678619712
good thing	-0.05797052973233082
receptionist	-0.05783683774882875
asked	-0.057302898961688775
