great	0.21418706008994484
comfortable	0.12665657503918762
staff	0.12482313249196583
friendly	0.11966156554768945
best	0.10923569280067458
clean	0.10861138704862265
nice	0.10401001764990096
helpful	0.09817580242665228
square	0.09576668129697509
excellent	0.09516149201987374
thank	0.09474429097387939
new	0.09423482974067345
perfect	0.09313057741396889
service	0.09208474332030984
time square	0.08906109042442216
quiet	0.08867433708691698
park	0.08427323167972872
view	0.08418186578459576
nyc	0.08246237678753966
pleasant	0.0823822741787709
right	0.07974972673104455
convenient	0.07617872590513723
awesome	0.0757115535795505
good	0.07494189682728476
always	0.07447636406293681
happy	0.07196799012714551
restaurant	0.07033664804677708
coffee	0.06621373867552055
facility	0.06608032943931391
amazing	0.06520163025800538
easy	0.06492974150622403
short	0.06399395552881856
drink	0.06349240847874144
little	0.06243721002615616
spacious	0.06168963229342296
around	0.06088280660507341
checking	0.05943428528080444
customer	0.05888888610415494
walk	0.058575213088106495
took	0.05847929070945174
lobby	0.05832712821107634
received	0.05673730672905421
staff friendly	0.056652160359254265
definitely	0.05664082271215964
loved	0.0564762181694746
sure	0.05645151081973133
fast	0.05615879401500331
side	0.05585131574383526
stayed	0.055542520844294244
breakfast	0.054966749814768304
